id,CHN202204070
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2022/04/07
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrt901
info,ump1b,barkl901
info,ump2b,lentn901
info,ump3b,cejan901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,44
info,winddir,tocf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,35112
info,wp,givem001
info,lp,ashba003
info,save,robed002
start,wongk001,"Kolten Wong",0,1,4
start,adamw002,"Willy Adames",0,2,6
start,yelic001,"Christian Yelich",0,3,7
start,mccua001,"Andrew McCutchen",0,4,10
start,tellr001,"Rowdy Tellez",0,5,3
start,renfh001,"Hunter Renfroe",0,6,9
start,narvo001,"Omar Narvaez",0,7,2
start,cainl001,"Lorenzo Cain",0,8,8
start,petej002,"Jace Peterson",0,9,5
start,burnc002,"Corbin Burnes",0,0,1
start,orter001,"Rafael Ortega",1,1,10
start,madrn001,"Nick Madrigal",1,2,4
start,contw001,"Willson Contreras",1,3,2
start,happi001,"Ian Happ",1,4,7
start,schwf001,"Frank Schwindel",1,5,3
start,suzus001,"Seiya Suzuki",1,6,9
start,heywj001,"Jason Heyward",1,7,8
start,wisdp001,"Patrick Wisdom",1,8,5
start,hoern001,"Nico Hoerner",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
start,greig001,"Grayson Greiner",0,9,2
start,casth002,"Humberto Castellanos",0,0,1
start,orter001,"Rafael Ortega",1,1,9
start,contw001,"Willson Contreras",1,2,2
start,happi001,"Ian Happ",1,3,7
start,schwf001,"Frank Schwindel",1,4,10
start,rivaa001,"Alfonso Rivas",1,5,3
start,wisdp001,"Patrick Wisdom",1,6,5
start,villj001,"Jonathan Villar",1,7,4
start,morec001,"Christopher Morel",1,8,8
start,vargi001,"Ildemaro Vargas",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,varsd001,12,CCBFX,S5/G25-
play,1,0,perdg001,01,CX,43/G3.1-2
play,1,0,rojaj001,31,BSBBX,7/F7S
play,1,0,walkc002,30,BBBB,W
play,1,0,perad001,32,CBBBC>B,W.2-3;1-2
play,1,0,mccaj003,00,X,S8/L8S.3-H;2-H;1X3(53)
play,1,1,orter001,21,CBBX,63/G6D+
play,1,1,contw001,12,SSBFS,K
play,1,1,happi001,02,SFS,K
play,2,0,thoma004,02,CSFX,D7/F78S
play,2,0,herny003,00,X,13/SH/BG2.2-3
play,2,0,greig001,22,B+3CFBS,K
play,2,0,varsd001,22,BCS*BFS,K
play,2,1,schwf001,21,CBBX,5/P56S
play,2,1,rivaa001,12,CCBFX,7/L7
play,2,1,wisdp001,22,CFBBX,HR/L8XD
play,2,1,villj001,10,BX,DGR/F7L
play,2,1,morec001,22,FBBS>X,S7/G56.2-H
play,2,1,vargi001,00,B,WP.1-2
play,2,1,vargi001,32,B.BBCSFB,W
play,2,1,orter001,22,BFF*BC,K
play,3,0,perdg001,32,BCBBFX,6/P4D
play,3,0,rojaj001,22,CBBCX,HR/F78XD
play,3,0,walkc002,00,X,9/F9
play,3,0,perad001,12,CBCX,HR/F8XD
play,3,0,mccaj003,02,CCX,63/G4
play,3,1,contw001,02,CSX,53/G5+
play,3,1,happi001,20,BBX,43/G34D+
play,3,1,schwf001,02,CFS,K
play,4,0,thoma004,11,CBX,43/G4
play,4,0,herny003,22,BBCCX,3/L3
play,4,0,greig001,22,CBFBS,K
play,4,1,rivaa001,00,X,7/L7D
play,4,1,wisdp001,10,BX,9/F89D
play,4,1,villj001,00,X,HR/F9D
play,4,1,morec001,32,BBCFBX,63/G6
play,5,0,varsd001,21,BBFX,7/L7D
play,5,0,perdg001,00,X,S8/L8
play,5,0,rojaj001,00,X,HR/F8XD.1-H
play,5,0,walkc002,22,CBSBX,5/L5+
play,5,0,perad001,12,SSBX,HR/L78XD
play,5,0,mccaj003,32,FBFBBFX,8/L8
play,5,1,vargi001,10,BX,8/F8D
play,5,1,orter001,21,BCBX,S8/L89+
play,5,1,contw001,00,X,36(1)/FO/G34S.B-1
play,5,1,happi001,32,BBFBF>C,K
play,6,0,thoma004,00,,NP
sub,norrd002,"Daniel Norris",1,0,1
play,6,0,thoma004,01,.CX,HR/F7D
play,6,0,herny003,11,BFX,3/G34
play,6,0,greig001,32,BBSBCB,W
play,6,0,varsd001,12,FBSS,K
play,6,0,perdg001,32,FBBBF>X,13/G4MS-
play,6,1,schwf001,12,BCFFX,9/F89D
play,6,1,rivaa001,00,,NP
sub,smitc006,"Caleb Smith",0,0,1
play,6,1,rivaa001,02,.FCC,K
play,6,1,wisdp001,11,BSX,43/G4
play,7,0,rojaj001,00,,NP
sub,givem001,"Mychal Givens",1,0,1
play,7,0,rojaj001,10,.BX,HR/F89XD
play,7,0,walkc002,31,BSBBB,W
play,7,0,perad001,01,CX,43/G4-.1-2
play,7,0,mccaj003,12,CFBX,S6/G6-.2-3
play,7,0,thoma004,02,C>FS,K
play,7,0,herny003,12,1BF1F1X,43/G4
play,7,1,villj001,01,SX,53/G56
play,7,1,morec001,02,SCX,HR/F8XD
play,7,1,vargi001,20,BBX,HR/F7LD
play,7,1,orter001,01,SX,S8/F78S
play,7,1,contw001,12,CFBC,K
com,"ej,contw001,P,addir901,Called third strike"
com,"$Cubs catcher Willson Contreras ejected by HP umpire Ryan Additon"
com,"for arguing called third strike"
play,7,1,happi001,32,.BFBBF>B,W.1-2
play,7,1,schwf001,00,,NP
sub,ramin002,"Noe Ramirez",0,0,1
play,7,1,schwf001,30,.BBBB,W.2-3;1-2
play,7,1,rivaa001,12,C*BFFF*S,K
play,8,0,greig001,00,,NP
sub,gomey001,"Yan Gomes",1,2,2
play,8,0,greig001,00,.,NP
sub,gselr001,"Robert Gsellman",1,0,1
play,8,0,greig001,12,..CBSC,K
play,8,0,varsd001,00,X,43/G4
play,8,0,perdg001,00,X,7/F7
play,8,1,wisdp001,02,FFFC,K
play,8,1,villj001,00,X,8/L8
play,8,1,morec001,12,SSBX,9/F9
play,9,0,rojaj001,12,CBFC,K
play,9,0,walkc002,00,X,HR/F7D
play,9,0,perad001,21,SBBX,1/P5SF/FL
play,9,0,mccaj003,01,CX,63/G4+
play,9,1,vargi001,00,,NP
sub,popps001,"Sean Poppen",0,0,1
play,9,1,vargi001,32,.BBBCCB,W
play,9,1,orter001,00,>C,DI.1-2
play,9,1,orter001,32,>C.BBFFBFFB,W
play,9,1,gomey001,11,FBX,9/F9D.2-3
play,9,1,happi001,10,B>B,DI.1-2
play,9,1,happi001,21,B>B.CX,7/SF/F78.3-H
play,9,1,schwf001,00,X,63/G6+
data,er,casth002,3
data,er,popps001,1
data,er,ramin002,0
data,er,smitc006,2
data,er,norrd002,1
data,er,givem001,1
data,er,gselr001,1
data,er,hendk001,7
id,CHN202206010
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2022/06/01
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,moorm901
info,ump1b,eddid901
info,ump2b,knigb901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:06
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,59
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,183
info,attendance,33398
info,wp,leitm002
info,lp,milnh001
info,save,
start,wongk001,"Kolten Wong",0,1,4
start,taylt002,"Tyrone Taylor",0,2,9
start,yelic001,"Christian Yelich",0,3,7
start,tellr001,"Rowdy Tellez",0,4,3
start,hiurk001,"Keston Hiura",0,5,10
start,narvo001,"Omar Narvaez",0,6,2
start,brosm001,"Mike Brosseau",0,7,6
start,petej002,"Jace Peterson",0,8,5
start,cainl001,"Lorenzo Cain",0,9,8
start,alexj001,"Jason Alexander",0,0,1
start,morec001,"Christopher Morel",1,1,8
start,contw001,"Willson Contreras",1,2,2
start,happi001,"Ian Happ",1,3,7
start,wisdp001,"Patrick Wisdom",1,4,5
start,schwf001,"Frank Schwindel",1,5,10
start,rivaa001,"Alfonso Rivas",1,6,3
start,hoern001,"Nico Hoerner",1,7,6
start,heywj001,"Jason Heyward",1,8,9
start,madrn001,"Nick Madrigal",1,9,4
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,wongk001,01,CX,63/G34D
play,1,0,taylt002,12,CFFFBX,43/G6MD
play,1,0,yelic001,32,BFFFBFFBFB,W
play,1,0,tellr001,22,BBCFX,13/G1S
play,1,1,morec001,32,CBCBBFFB,W
play,1,1,contw001,01,FX,S7/L7S+.1-2
play,1,1,happi001,01,F>B,SB3;SB2.2-H(E2/TH)(NR);1-3
play,1,1,happi001,32,F>B.SB*BB,W
play,1,1,wisdp001,02,CFX,4(1)3/GDP/G4M.3-H(NR)(UR)
play,1,1,schwf001,32,CBFBBFB,W
play,1,1,rivaa001,01,CX,13/G1-
play,2,0,hiurk001,02,CFS,K
play,2,0,narvo001,12,CBFX,9/F89
play,2,0,brosm001,12,CTBFFX,53/G56
play,2,1,hoern001,01,CX,63/G6
play,2,1,heywj001,00,X,31/G34
play,2,1,madrn001,11,BCX,53/G56
play,3,0,petej002,21,CBBX,T9/L89D
play,3,0,cainl001,00,X,31/G3
play,3,0,wongk001,00,X,S7/L7S+.3-H
play,3,0,taylt002,00,X,54(1)3/GDP/G56
play,3,1,morec001,12,CBFX,23/G2-
play,3,1,contw001,02,CFX,53/G56
play,3,1,happi001,22,BBCCX,63/G2
play,4,0,yelic001,32,CBBBCFFX,53/G56
play,4,0,tellr001,01,CX,8/F8XD
play,4,0,hiurk001,02,CFX,D8/L78D+
play,4,0,narvo001,31,BCBBX,S7/L7S.2-H;BX2(724)
play,4,1,wisdp001,00,X,53/G56-
play,4,1,schwf001,21,CBBX,3/L34D+
play,4,1,rivaa001,00,X,S5/BG25-
play,4,1,hoern001,12,CBFX,3/P3
play,5,0,brosm001,12,BCFFX,S6/G6
play,5,0,petej002,11,CBX,D7/F78XD.1-H
com,"$Brewers challenged (home-plate collision), call on the field was overturned."
play,5,0,cainl001,00,X,13/G6MS
play,5,0,wongk001,22,FBCFBX,7/L7
play,5,0,taylt002,11,BFX,63/G6
play,5,1,heywj001,32,CBBBFX,S76/F78S
play,5,1,madrn001,01,C>X,43/G34.1-2
play,5,1,morec001,22,BCCBS,K
play,5,1,contw001,01,CX,S9/G34.2-H;BX3(15)
play,6,0,yelic001,00,,NP
sub,norrd002,"Daniel Norris",1,0,1
play,6,0,yelic001,32,.BBCBCB,W
play,6,0,tellr001,10,B1X,26(1)/FO/P25.B-1
play,6,0,hiurk001,22,BCSFBS,K
play,6,0,narvo001,12,C*B+1CS,K
play,6,1,happi001,21,CBBX,D7/L5D+
play,6,1,wisdp001,12,FFBX,53/G56
play,6,1,schwf001,02,FF>S,K+CS3(25)/DP
play,7,0,brosm001,00,,NP
sub,ruckm001,"Michael Rucker",1,0,1
play,7,0,brosm001,12,.BCCS,K
play,7,0,petej002,10,BX,D9/F9D+
play,7,0,cainl001,32,SBF*BBFS,K
play,7,0,wongk001,02,CSFFS,K
play,7,1,rivaa001,22,CCBBX,13/G13
play,7,1,hoern001,10,BX,S8/G4M
play,7,1,heywj001,12,11CBFS,K
play,7,1,madrn001,00,X,S6/G6S-.1-2
play,7,1,morec001,11,CBX,43/G34
play,8,0,taylt002,00,,NP
sub,wickr001,"Rowan Wick",1,0,1
play,8,0,taylt002,31,.BCBBX,43/G4M
play,8,0,yelic001,02,FFS,K
play,8,0,tellr001,32,FBSBFBX,S5/G5-
play,8,0,hiurk001,22,CSFBBS,K
play,8,1,contw001,00,,NP
sub,sancm001,"Miguel Sanchez",0,0,1
play,8,1,contw001,01,.SX,43/G6M-
play,8,1,happi001,11,CBX,43/G34D
play,8,1,wisdp001,32,CBSBBB,W
play,8,1,schwf001,02,FSX,4(1)/FO/G4M.B-1
play,9,0,narvo001,00,,NP
sub,robed002,"David Robertson",1,0,1
play,9,0,narvo001,22,.BCCBX,43/G4MS-
play,9,0,brosm001,02,FCS,K
play,9,0,petej002,12,CBS*S,K
play,9,1,rivaa001,00,,NP
sub,willd004,"Devin Williams",0,0,1
play,9,1,rivaa001,12,.FFBS,K
play,9,1,hoern001,32,CBBBSFFB,W
play,9,1,heywj001,22,FBBFX,9/L89D
play,9,1,madrn001,00,1,PO1(13)
com,"$Brewers challenged (tag play), call on the field was overturned."
play,10,0,cainl001,00,,NP
sub,leitm002,"Mark Leiter Jr.",1,0,1
radj,petej002,2
com,"Jace Peterson starts inning at 2nd base."
play,10,0,cainl001,02,..FSS,K
play,10,0,wongk001,01,SB,WP.2-3
play,10,0,wongk001,21,SB.BX,FC/G4.3XH(42);B-1
play,10,0,taylt002,00,X,9/F89
play,10,1,madrn001,00,,NP
sub,milnh001,"Hoby Milner",0,0,1
radj,heywj001,2
com,"Jason Heyward starts inning at 2nd base."
play,10,1,madrn001,01,..CX,3/G3-.2-3
play,10,1,morec001,12,FFBX,7/SF/F78.3-H(UR)
data,er,sancm001,0
data,er,milnh001,0
data,er,willd004,0
data,er,alexj001,2
data,er,ruckm001,0
data,er,norrd002,0
data,er,wickr001,0
data,er,leitm002,0
data,er,hendk001,3
data,er,robed002,0
id,CHN202206140
version,2
info,visteam,SDN
info,hometeam,CHN
info,site,CHI11
info,date,2022/06/14
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,knigb901
info,ump2b,bacce901
info,ump3b,buckc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:21
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,94
info,winddir,tolf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,193
info,attendance,29233
info,wp,tylek001
info,lp,effrs001
info,save,
start,grist001,"Trent Grisham",0,1,8
start,cronj001,"Jake Cronenworth",0,2,4
start,machm001,"Manny Machado",0,3,5
start,voitl001,"Luke Voit",0,4,10
start,hosme001,"Eric Hosmer",0,5,3
start,alfaj002,"Jorge Alfaro",0,6,2
start,mazan001,"Nomar Mazara",0,7,9
start,kim-h002,"Ha-Seong Kim",0,8,6
start,azocj001,"Jose Azocar",0,9,7
start,manas001,"Sean Manaea",0,0,1
start,morec001,"Christopher Morel",1,1,8
start,contw001,"Willson Contreras",1,2,2
start,wisdp001,"Patrick Wisdom",1,3,5
start,schwf001,"Frank Schwindel",1,4,3
start,gomey001,"Yan Gomes",1,5,10
start,happi001,"Ian Happ",1,6,7
start,hoern001,"Nico Hoerner",1,7,6
start,villj001,"Jonathan Villar",1,8,4
start,heywj001,"Jason Heyward",1,9,9
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,grist001,32,CBBBFFFFFC,K
play,1,0,cronj001,22,SBBFFX,S9/F89S
play,1,0,machm001,02,CFF1FS,K
play,1,0,voitl001,32,BBF11BS>S,K
play,1,1,morec001,02,CSS,K.BX1(23)
play,1,1,contw001,00,X,HR/F89XD
play,1,1,wisdp001,12,FFBS,K
play,1,1,schwf001,00,X,53/G56S-
play,2,0,hosme001,01,CX,13/G15
play,2,0,alfaj002,32,BFBSBT,K
play,2,0,mazan001,11,CBX,43/G34
play,2,1,gomey001,01,FX,63/G6
play,2,1,happi001,12,BFCT,K
play,2,1,hoern001,20,BBX,43/G4+
play,3,0,kim-h002,01,CX,63/G56D
play,3,0,azocj001,22,CCBBX,E6/TH/G6M.B-1
play,3,0,grist001,20,B1*BX,9/F9D
play,3,0,cronj001,01,11C>S,SB2
play,3,0,cronj001,02,11C>S.S,K
play,3,1,villj001,30,BBBX,8/F8XD+
play,3,1,heywj001,21,BBCX,8/F78XD
play,3,1,morec001,32,SFBBBB,W
play,3,1,contw001,11,1BTX,HR/F7LD.1-H
play,3,1,wisdp001,12,BFTX,S6/G6
play,3,1,schwf001,11,BC>X,S9/F89S.1-3
play,3,1,gomey001,02,FSX,8/L8XD
play,4,0,machm001,20,BBX,4/L4
play,4,0,voitl001,10,BX,63/G15-
play,4,0,hosme001,02,SSX,7/F78S
play,4,1,happi001,00,X,S9/L9LS
play,4,1,hoern001,01,CX,T9/L89S+.1-H
play,4,1,villj001,32,BSB*BSFFT,K
play,4,1,heywj001,02,CF*S,K.BX1(23)
play,4,1,morec001,00,X,7/F7L
play,5,0,alfaj002,12,CCBX,S7/L8
play,5,0,mazan001,00,X,7/F7LD
play,5,0,kim-h002,21,S1BBX,2/P5SF/FL
play,5,0,azocj001,00,X,S8/L8.1-2
play,5,0,grist001,12,C*BT*S,K
play,5,1,contw001,12,BFFFX,D8/L78D+
play,5,1,wisdp001,32,SBFB*BFX,S7/L7S+.2-3
play,5,1,schwf001,00,,NP
sub,tylek001,"Kyle Tyler",0,0,1
play,5,1,schwf001,01,.1FX,63/G6.3-H;1-2
play,5,1,gomey001,00,*B,OA.2X3(25)
play,5,1,gomey001,20,*B.BX,S7/L78S
play,5,1,happi001,30,BB*BX,43/G34D
play,6,0,cronj001,22,CBBSX,D7/L7LD
play,6,0,machm001,00,,NP
sub,martc007,"Chris Martin",1,0,1
play,6,0,machm001,11,.FBX,63/G6M.2-3
play,6,0,voitl001,01,FX,HR/F89XD.3-H
play,6,0,hosme001,01,CX,S9/L89
play,6,0,alfaj002,11,BFX,6/L6D
play,6,0,mazan001,12,CSBB,WP.1-2
play,6,0,mazan001,22,CSBB.X,S7/L7S.2-H;B-2
play,6,0,kim-h002,00,,NP
sub,effrs001,"Scott Effross",1,0,1
play,6,0,kim-h002,00,.X,S9/L89S.2-H
play,6,0,azocj001,00,,NP
sub,profj001,"Jurickson Profar",0,9,11
play,6,0,profj001,10,.B11N,BK.1-2
play,6,0,profj001,22,.B11N.CBCC,K
play,6,1,hoern001,00,,NP
sub,profj001,"Jurickson Profar",0,9,7
play,6,1,hoern001,20,.BBX,43/G4M
play,6,1,villj001,02,CF*S,K
play,6,1,heywj001,11,CBX,31/G3
play,7,0,grist001,00,X,S5/BG2
play,7,0,cronj001,10,BX,S7/L7LS.1-2
play,7,0,machm001,00,,NP
sub,givem001,"Mychal Givens",1,0,1
play,7,0,machm001,30,.BBBB,W.2-3;1-2
play,7,0,voitl001,01,CX,D8/F89XD+.3-H;2-H;1-H
play,7,0,hosme001,31,*BBF2BB,W
play,7,0,alfaj002,32,S+2FBBBFB,W.2-3;1-2
play,7,0,mazan001,00,,NP
sub,hughb002,"Brandon Hughes",1,0,1
play,7,0,mazan001,01,.SX,S9/L9S.3-H;2-H;1-3
play,7,0,kim-h002,11,BFX,8/SF/F8.3-H
play,7,0,profj001,31,B*BFBB,W.1-2
play,7,0,grist001,22,CCBBS,K
play,7,0,cronj001,01,FH,HP.2-3;1-2
play,7,0,machm001,12,FBSC,K
play,7,1,morec001,00,,NP
sub,cronj001,"Jake Cronenworth",0,2,3
play,7,1,morec001,00,.,NP
sub,alcas002,"Sergio Alcantara",0,5,4
play,7,1,morec001,00,..,NP
sub,crisn001,"Nabil Crismatt",0,0,1
play,7,1,morec001,11,...BCX,53/G56
play,7,1,contw001,01,CX,9/F89S
play,7,1,wisdp001,21,FBBX,53/G56S
play,8,0,voitl001,00,,NP
sub,stoue001,"Eric Stout",1,0,1
play,8,0,voitl001,32,.BCSBBX,9/F9S
play,8,0,alcas002,21,CBBX,9/F9D
play,8,0,alfaj002,02,FSX,HR/F8XD
play,8,0,mazan001,02,CCS,K
play,8,1,schwf001,00,X,S7/L78S
play,8,1,gomey001,02,CSX,4/P34
play,8,1,happi001,00,X,65(1)3/GDP/G4
play,9,0,kim-h002,00,X,D7/F78XD
play,9,0,profj001,22,BCBFX,43/G4.2-3
play,9,0,grist001,00,X,S7/G6.3-H
play,9,0,cronj001,31,BBFBB,W.1-2
play,9,0,machm001,00,X,8/L78D+
play,9,0,voitl001,12,CBFT,K
play,9,1,hoern001,00,,NP
sub,kerrr001,"Ray Kerr",0,0,1
play,9,1,hoern001,10,.BX,9/F9
play,9,1,villj001,00,X,143/G4
play,9,1,heywj001,00,,NP
sub,higgp001,"P.J. Higgins",1,9,11
play,9,1,higgp001,20,.BBX,9/F9LS
data,er,crisn001,0
data,er,manas001,5
data,er,tylek001,0
data,er,kerrr001,0
data,er,effrs001,2
data,er,stoue001,2
data,er,hughb002,0
data,er,givem001,4
data,er,hendk001,1
data,er,martc007,3
id,CHN202206190
version,2
info,visteam,ATL
info,hometeam,CHN
info,site,CHI11
info,date,2022/06/19
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,millb901
info,ump1b,riggj901
info,ump2b,ortir901
info,ump3b,eddid901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:27
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,76
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,161
info,attendance,40369
info,wp,andei001
info,lp,hendk001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,swand001,"Dansby Swanson",0,2,6
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,darnt001,"Travis d'Arnaud",0,5,2
start,contw002,"William Contreras",0,6,10
start,duvaa001,"Adam Duvall",0,7,7
start,gossp001,"Phil Gosselin",0,8,4
start,harrm004,"Michael Harris II",0,9,8
start,andei001,"Ian Anderson",0,0,1
start,morec001,"Christopher Morel",1,1,8
start,contw001,"Willson Contreras",1,2,10
start,happi001,"Ian Happ",1,3,7
start,villj001,"Jonathan Villar",1,4,4
start,wisdp001,"Patrick Wisdom",1,5,5
start,hoern001,"Nico Hoerner",1,6,6
start,gomey001,"Yan Gomes",1,7,2
start,heywj001,"Jason Heyward",1,8,9
start,rivaa001,"Alfonso Rivas",1,9,3
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,acunr001,12,CCBS,K
play,1,0,swand001,12,CCBX,S8/L89D
play,1,0,rilea001,00,X,8/L8D+
play,1,0,olsom001,00,>B,SB2
play,1,0,olsom001,30,>B.BBB,W
play,1,0,darnt001,00,X,HR/F7LD.2-H;1-H
play,1,0,contw002,12,FCFBC,K
play,1,1,morec001,11,CBX,7/L7D+
play,1,1,contw001,11,CBX,53/G5
play,1,1,happi001,22,SBFBFX,S7/L78S
play,1,1,villj001,11,SBN,CS2(1634)
play,2,0,duvaa001,02,CCS,K
play,2,0,gossp001,22,CCBBX,8/L8XD
play,2,0,harrm004,12,BSSS,K
play,2,1,villj001,22,BBSFS,K
play,2,1,wisdp001,32,BBFCBB,W
play,2,1,hoern001,22,CBFBX,54(1)3/GDP/G5
play,3,0,acunr001,00,X,9/L9D+
play,3,0,swand001,22,CSBFFBS,K
play,3,0,rilea001,32,CSBBBX,S9/L9S
play,3,0,olsom001,11,FBX,D9/L9LD+.1-3
play,3,0,darnt001,12,SBFF*S,K
play,3,1,gomey001,22,CFBBFC,K
play,3,1,heywj001,00,X,3/G3
play,3,1,rivaa001,32,SCBBBX,63/G6
play,4,0,contw002,12,BSCFX,7/F7
play,4,0,duvaa001,00,X,63/G6
play,4,0,gossp001,21,BCBX,3/G34
play,4,1,morec001,20,BBX,13/G1S+
play,4,1,contw001,10,BX,43/G6M
play,4,1,happi001,02,SFX,S8/L8D+
play,4,1,villj001,12,CBTFS,K
play,5,0,harrm004,10,BX,HR/F7D
play,5,0,acunr001,12,BFCX,63/G6
play,5,0,swand001,01,SX,DGR/L7LD
play,5,0,rilea001,00,>B,SB3
play,5,0,rilea001,10,>B.X,D7/F7LD+.3-H
play,5,0,olsom001,22,CFFBBFX,D7/L78XD+.2-H
play,5,0,darnt001,00,,NP
sub,sampa001,"Adrian Sampson",1,0,1
play,5,0,darnt001,22,.BBFSFX,9/F9L.2-3
play,5,0,contw002,02,CSS,K
play,5,1,wisdp001,22,CBCB*S,K
play,5,1,hoern001,22,CBFBX,53/G5-
play,5,1,gomey001,02,CT*S,K
play,6,0,duvaa001,12,FSFBS,K
play,6,0,gossp001,12,CCBS,K
play,6,0,harrm004,21,BCBX,7/L7D+
play,6,1,heywj001,30,BBBB,W
play,6,1,rivaa001,00,X,S7/F7S.1-2
play,6,1,morec001,01,CX,13/G13.2-3;1-2
play,6,1,contw001,10,*BX,9/F9S
play,6,1,happi001,32,BCFF*BBX,3/G3
play,7,0,acunr001,22,BFSBX,4/P8S
play,7,0,swand001,32,CBBCBFS,K
play,7,0,rilea001,00,X,53/G5+
play,7,1,villj001,00,X,7/F7D
play,7,1,wisdp001,22,CBFBS,K
play,7,1,hoern001,32,BBBCCFFH,HP
play,7,1,gomey001,00,,NP
sub,chavj001,"Jesse Chavez",0,0,1
play,7,1,gomey001,20,.BBX,S9/L9L.1-2
play,7,1,heywj001,01,CX,5/P56-
play,8,0,olsom001,12,TBSX,D7/L78D+
play,8,0,darnt001,20,*BBX,7/F78
play,8,0,contw002,02,SCX,13/G15
play,8,0,duvaa001,01,CX,63/G6
play,8,1,rivaa001,02,CSS,K
play,8,1,morec001,22,BCSFBC,K
play,8,1,contw001,01,SX,S7/G56+
play,8,1,happi001,02,CSFB,WP.1-2
play,8,1,happi001,32,CSFB.FBBB,W
play,8,1,villj001,12,FSBX,S7/L7S.2-3;1-2
play,8,1,wisdp001,00,,NP
sub,minta001,"A.J. Minter",0,0,1
play,8,1,wisdp001,11,.BFX,9/F9
play,9,0,gossp001,12,FCBS,K
play,9,0,harrm004,02,CFX,9/F89XD
play,9,0,acunr001,01,FX,23/G2-
play,9,1,hoern001,00,,NP
sub,jansk001,"Kenley Jansen",0,0,1
play,9,1,hoern001,01,.CX,63/G6
play,9,1,gomey001,01,CX,7/F7L
play,9,1,heywj001,02,CSX,9/F9S
data,er,andei001,0
data,er,chavj001,0
data,er,jansk001,0
data,er,minta001,0
data,er,sampa001,0
data,er,hendk001,6
id,CHN202206300
version,2
info,visteam,CIN
info,hometeam,CHN
info,site,CHI11
info,date,2022/06/30
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,belld901
info,ump1b,bacoj901
info,ump2b,drakr901
info,ump3b,littw901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,87
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,194
info,attendance,32318
info,wp,hendk001
info,lp,ashcg001
info,save,
start,indij001,"Jonathan India",0,1,4
start,drurb001,"Brandon Drury",0,2,5
start,phamt001,"Tommy Pham",0,3,7
start,vottj001,"Joey Votto",0,4,3
start,farmk001,"Kyle Farmer",0,5,6
start,mousm001,"Mike Moustakas",0,6,10
start,senzn001,"Nick Senzel",0,7,8
start,schrm001,"Max Schrock",0,8,9
start,papim001,"Michael Papierski",0,9,2
start,ashcg001,"Graham Ashcraft",0,0,1
start,orter001,"Rafael Ortega",1,1,9
start,contw001,"Willson Contreras",1,2,10
start,happi001,"Ian Happ",1,3,7
start,wisdp001,"Patrick Wisdom",1,4,5
start,hoern001,"Nico Hoerner",1,5,6
start,gomey001,"Yan Gomes",1,6,2
start,higgp001,"P.J. Higgins",1,7,3
start,boted002,"David Bote",1,8,4
start,morec001,"Christopher Morel",1,9,8
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,indij001,32,CBBCBX,8/F78
play,1,0,drurb001,00,X,7/L78D
play,1,0,phamt001,12,CCBS,K
